Area,ShopName,Address
경기도,화성남양시장점,경기 화성시 남양읍 남양성지로 139-1
대구광역시,대구수성3가점,대구 수성구 수성동3가 72-1
전라북도,전주대자인병원점,전주시 덕진구 우아동3가749-63
인천광역시,인천아인여성병원점,인천광역시 미추홀구 주안동 포레나미추홀 201동 1층 1032호
서울특별시,월곡두산위브점,서울시 성북구 오패산로 46
인천광역시,인천검암우체국점,인천광역시 서구 승학로 414
전라남도,나주영산포점,전남 나주시 이창1길 10-1
부산광역시,부산명륜점,부산 동래구 명륜로 187번길 8 (명륜동 696-110)
광주광역시,광주주월골드점,광주 광역시 남구 주월동 1328
경기도,분당수내역1번출구점,경기 성남시 분당구 황새울로258번길 32
전라남도,목포여객터미널점,목포시 해안로 189-1
충청남도,빽다방 빵연구소 천안용곡DT점,천안시 동남구 용곡동 546-6 
서울특별시,구의중앙점,서울시 광진구 구의로6
대전광역시,대전낭월점,대전 동구 산내로1305번길 6
전라북도,전북완주첨단점,전라북도 완주군 봉동읍 둔산리 900-1
부산광역시,부산명지국제타워점,부산 강서구 명지국제8로 251 (명지동 3358-1) 
대전광역시,대전수정타운점,대전 서구 청사로 282 수정상가 1층
전라북도,전주서부시장점,전라북도 전주시 완산구 용머리로149(힐스테이트어울림효자 상가1층 104호)
서울특별시,난곡세이브점,서울 관악구 신림동 726-7( 난곡로 217) 1
대전광역시,대전둔산초점,대전 서구 둔산남로 41
서울특별시,419사거리점,서울 강북구 수유동 279-84
서울특별시,공존점,서울 구로구 새말로 97 (구로동 신도림테크노마트) 34층
제주도,서귀포동홍중앙점,제주특별자치도 서귀포시 동홍동 96-4 1층
경기도,다산새봄점,경기도 남양주시 다산순환로 418 (1층 104호)
서울특별시,가산로데오점,서울 금천구 가산동 60-51(디지털로 200) 가산IT타워 1층
전라남도,철원와수리점,전남 무안군 강원도 철원군 서면 와수로 175
경기도,평택동삭대림점,경기도 평택시 모산1길 81 103호
인천광역시,인천관교한신점,인천 미추홀구 주안동 1525번지  1층
서울특별시,종로두산위브점,서울 종로구 수송동 58
