경찰관서,전화번호,FAX,주소
서울중부경찰서,(02)2273-4400,(02)2275-3009,서울 중구 수표로 27
서울종로경찰서,(02)3701-4324,(02)3701-4223,서울 종로구 율곡로 46
서울남대문경찰서,(02)2096-8324,(02)2096-8337,서울 중구 한강대로 410
서울서대문경찰서,(02)335-8192,(02)335-8189,서울 서대문구 통일로 113
서울혜화경찰서,(02)762-4400,(02)3158-7133,서울 종로구 창경궁로 112-16
서울용산경찰서,(02)2198-0267,(02)2198-0325,서울 용산구 원효로89길 24
서울성북경찰서,(02)920-1324,(02)920-1661,서울 성북구 보문로 170
서울동대문경찰서,(02)3295-0110,(02)961-4849,서울 동대문구 약령시로21길 29
서울마포경찰서,(02)3149-6324,(02)3149-6327,서울 마포구 마포대로 183
서울영등포경찰서,(02)2118-9324,(02)2118-9461,서울시 영등포구 국회대로 608
서울성동경찰서,(02)2286-0224,(02)2286-0127,서울 성동구 왕십리광장로 9
서울동작경찰서,(02)811-9325,(02)811-9052,서울 동작구 노량진로 148
서울광진경찰서,(02)2285-7224,(02)3436-1436,서울 광진구 자양로 167
서울서부경찰서,(02)383-3840,(02)335-9822,서울 은평구 통일로 757
서울강북경찰서,(02)944-4324,(02)944-4409,서울 강북구 오패산로 406
서울금천경찰서,(02)801-5226,(02)801-5223,서울 관악구 남부순환로 1435
서울중랑경찰서,(02)2171-0323,(02)2171-0327,서울 중랑구 신내역로3길 40-10
서울강남경찰서,(02)3673-9000,(02)3673-9370,서울 강남구 테헤란로114길 11
서울관악경찰서,(02)870-0131,(02)870-0129,서울 관악구 관악로5길 33
서울강서경찰서,(02)2620-9105,(02)2620-9052,서울 양천구 화곡로 73
서울강동경찰서,(02)3449-7224,(02)3449-7139,서울 강동구 성내로 57
서울종암경찰서,(02)3396-7324,(02)3396-7442,서울 성북구 종암로 135
서울구로경찰서,(02)840-8324,(02)840-8122,서울 구로구 가마산로 235
서울서초경찰서,(02)3483-9324,(02)3483-9011,서울 서초구 반포대로 179
서울양천경찰서,(02)2093-8324,(02)2093-8015,서울 양천구 목동동로 99
서울송파경찰서,(02)3402-6324,(02)3402-6131,서울 송파구 중대로 221
서울노원경찰서,(02)2092-0326,(02)2092-0226,서울 노원구 노원로 283
서울방배경찰서,(02)3403-8323,(02)3403-8104,서울 서초구 동작대로 204
서울은평경찰서,(02)350-1324,(02)350-1225,서울 은평구 연서로 365
서울도봉경찰서,(02)2289-9424,(02)2289-9162,서울 도봉구 노해로 403
서울수서경찰서,(02)2155-9325,(02)2155-9028,서울 강남구 개포로 617





