"년도","월","자치구명","발생건수","사망자수","부상자수"
2005,1,"종로구",93,2,138
2005,2,"종로구",84,3,125
2005,3,"종로구",117,0,142
2005,4,"종로구",138,2,212
2005,5,"종로구",145,2,207
2005,6,"종로구",134,3,194
2005,7,"종로구",125,2,194
2005,8,"종로구",114,2,166
2005,9,"종로구",128,2,184
2005,10,"종로구",141,2,212
2005,11,"종로구",142,2,207
2005,12,"종로구",141,2,204
2005,1,"중구",97,1,156
2005,2,"중구",87,1,119
2005,3,"중구",100,1,137
2005,4,"중구",108,0,150
2005,5,"중구",131,1,189
2005,6,"중구",97,2,136
2005,7,"중구",119,2,165
2005,8,"중구",113,3,148
2005,9,"중구",110,0,139
2005,10,"중구",122,0,173
2005,11,"중구",106,1,149
2005,12,"중구",143,1,196
2005,1,"용산구",129,3,199
2005,2,"용산구",79,1,126
2005,3,"용산구",109,1,164
2005,4,"용산구",94,4,141
2005,5,"용산구",107,0,172
2005,6,"용산구",107,2,158
2005,7,"용산구",110,1,162
2005,8,"용산구",110,1,179
2005,9,"용산구",144,3,231
2005,10,"용산구",104,0,150
2005,11,"용산구",130,1,220
2005,12,"용산구",137,3,209
2005,1,"성동구",98,2,133
2005,2,"성동구",72,0,118
2005,3,"성동구",87,1,127
2005,4,"성동구",82,2,108
2005,5,"성동구",99,1,136
2005,6,"성동구",100,0,135
2005,7,"성동구",97,0,135
2005,8,"성동구",86,1,123
2005,9,"성동구",100,1,127
2005,10,"성동구",96,3,135
2005,11,"성동구",111,1,151
2005,12,"성동구",118,1,168
2005,1,"광진구",120,1,196
2005,2,"광진구",84,0,126
2005,3,"광진구",132,3,187
2005,4,"광진구",133,1,197
2005,5,"광진구",144,4,217
2005,6,"광진구",110,2,147
2005,7,"광진구",142,4,196
2005,8,"광진구",122,2,157
2005,9,"광진구",137,1,223
2005,10,"광진구",142,3,198
2005,11,"광진구",131,0,175
2005,12,"광진구",167,0,263
2005,1,"동대문구",120,1,177
2005,2,"동대문구",102,1,151
2005,3,"동대문구",134,3,162
2005,4,"동대문구",158,1,229
2005,5,"동대문구",137,2,176
2005,6,"동대문구",127,0,187
2005,7,"동대문구",155,3,230
2005,8,"동대문구",143,0,204
2005,9,"동대문구",172,6,261
