area,lon,lat
강남구,127.0475,37.51731
강동구,127.1238,37.53013
강북구,127.0255,37.63975
관악구,126.9515,37.47834
구로구,126.8875,37.49547
도봉구,127.0478,37.66873
동대문구,127.0396,37.57452
동작구,126.9393,37.51243
서대문구,126.9368,37.57908
서초구,127.0330,37.48400
성북구,127.0167,37.58936
양천구,126.8666,37.51702
용산구,126.9904,37.53254
은평구,126.9292,37.60278
종로구,126.9793,37.57323
중랑구,127.0928,37.60652
중구,127.0032,37.55273
성동구,127.0368,37.56346
광진구,127.0824,37.53862
노원구,127.0565,37.65437
마포구,126.9016,37.56631
강서구,126.8496,37.55094
금천구,126.8957,37.45708
영등포구,126.8966,37.52582
송파구,127.1059,37.51448
