Player,Pos,3P,TRB,BLK
Dewayne Dedmon,C,0.0,6.5,0.8
Dwight Howard,C,0.0,12.7,1.2
Nik Stauskas,SG,1.7,2.8,0.4
Wayne Ellington,SG,2.4,2.1,0.1
Alex Abrines,SG,1.4,1.3,0.1
Evan Fournier,SG,1.9,3.1,0.1
Robin Lopez,C,0.0,6.4,1.4
Buddy Hield,SG,1.8,3.3,0.1
Ian Mahinmi,C,0.0,4.8,0.8
Joel Embiid,C,1.2,7.8,2.5
John Henson,C,0.0,5.1,1.3
Marc Gasol,C,1.4,6.3,1.3
Iman Shumpert,SG,1.2,2.9,0.4
Zach LaVine,SG,2.6,3.4,0.2
A.J. Hammons,C,0.2,1.6,0.6
Danny Green,SG,1.7,3.3,0.8
Justin Holiday,SG,1.2,2.7,0.4
Nene Hilario,C,0.0,4.2,0.6
Andrew Bogut,C,0.0,8.1,0.9
Troy Daniels,SG,2.1,1.5,0.1
Al Horford,C,1.3,6.8,1.3
Salah Mejri,C,0.0,4.2,0.8
Garrett Temple,SG,1.3,2.8,0.4
Ben McLemore,SG,1.1,2.1,0.1
Steven Adams,C,0.0,7.7,1.0
Jonas Valanciunas,C,0.0,9.5,0.8
Nikola Jokic,C,0.6,9.8,0.8
Willie Cauley-Stein,C,0.0,4.5,0.6
Nicolas Batum,SG,1.8,6.2,0.4
Alex Len,C,0.0,6.6,1.3
Tony Snell,SG,1.8,3.1,0.2
Kyle Korver,SG,2.4,2.8,0.3
Clint Capela,C,0.0,8.1,1.2
Gary Harris,SG,1.9,3.1,0.1
Marco Belinelli,SG,1.4,2.4,0.1
Richaun Holmes,C,0.5,5.5,1.0
Sean Kilpatrick,SG,1.5,4.0,0.1
Courtney Lee,SG,1.4,3.4,0.3
Patrick Beverley,SG,1.6,5.9,0.4
Jordan Clarkson,SG,1.4,3.0,0.1
Edy Tavares,C,0.0,5.5,3.0
Austin Rivers,SG,1.5,2.2,0.1
Roy Hibbert,C,0.0,3.2,1.0
Will Barton,SG,1.5,4.3,0.5
Georgios Papagiannis,C,0.0,3.9,0.8
Rodney Hood,SG,1.9,3.4,0.2
Timofey Mozgov,C,0.0,4.9,0.6
Eric Gordon,SG,3.3,2.7,0.5
C.J. McCollum,SG,2.3,3.6,0.5
Jordan Crawford,SG,1.9,1.8,0.1
Tristan Thompson,C,0.0,9.2,1.1
Avery Bradley,SG,2.0,6.1,0.2
Willie Reed,C,0.0,4.7,0.7
Marcin Gortat,C,0.0,10.4,0.7
Josh Richardson,SG,1.4,3.2,0.7
JaVale McGee,C,0.0,3.2,0.9
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Anthony Davis,C,0.5,11.8,2.2
Andre Drummond,C,0.0,13.8,1.1
Victor Oladipo,SG,1.9,4.3,0.3
Allen Crabbe,SG,1.7,2.9,0.3
Brook Lopez,C,1.8,5.4,1.7
Manu Ginobili,SG,1.3,2.3,0.2
Dion Waiters,SG,1.8,3.3,0.4
Frank Kaminsky,C,1.5,4.5,0.5
Devin Booker,SG,1.9,3.2,0.3
Mason Plumlee,C,0.0,7.5,1.1
Tarik Black,C,0.0,5.1,0.7
Bismack Biyombo,C,0.0,7.0,1.1
Wesley Matthews,SG,2.4,3.5,0.2
Lou Williams,SG,2.0,2.5,0.2
Channing Frye,C,1.9,3.9,0.5
Jodie Meeks,SG,1.6,2.1,0.1
Hassan Whiteside,C,0.0,14.1,2.1
Marreese Speights,C,1.3,4.5,0.5
Tim Hardaway,SG,1.9,2.8,0.2
Kosta Koufos,C,0.0,5.7,0.7
Montrezl Harrell,C,0.0,3.8,0.7
E'Twaun Moore,SG,1.1,2.1,0.4
Klay Thompson,SG,3.4,3.7,0.5
