length,weight,name
25.4,242.0,apple
26.3,290.0,apple
26.5,340.0,apple
29.0,363.0,apple
29.0,430.0,apple
29.7,450.0,apple
29.7,500.0,apple
30.0,390.0,apple
30.0,450.0,apple
30.7,500.0,apple
31.0,475.0,apple
31.0,500.0,apple
31.5,500.0,apple
32.0,340.0,apple
32.0,600.0,apple
32.0,600.0,apple
33.0,700.0,apple
33.0,700.0,apple
33.5,610.0,apple
33.5,650.0,apple
34.0,575.0,apple
34.0,685.0,apple
34.5,620.0,apple
35.0,680.0,apple
35.0,700.0,apple
35.0,725.0,apple
35.0,720.0,apple
36.0,714.0,apple
36.0,850.0,apple
37.0,1000.0,apple
38.5,920.0,apple
38.5,955.0,apple
39.5,925.0,apple
41.0,975.0,apple
41.0,950.0,apple
9.8,6.7,berry
10.5,7.5,berry
10.6,7.0,berry
11.0,9.7,berry
11.2,9.8,berry
11.3,8.7,berry
11.8,10.0,berry
11.8,9.9,berry
12.0,9.8,berry
12.2,12.2,berry
12.4,13.4,berry
13.0,12.2,berry
14.3,19.7,berry
15.0,19.9,berry
