지역,날짜,날씨,최저온도,최고온도
서울,2023-01-23 00:00,구름많음,-3,-1
서울,2023-01-23 12:00,맑음,-3,-1
서울,2023-01-24 00:00,맑음,-17,-10
서울,2023-01-24 12:00,맑음,-17,-10
서울,2023-01-25 00:00,맑음,-16,-6
서울,2023-01-25 12:00,맑음,-16,-6
서울,2023-01-26 00:00,흐림,-11,-2
서울,2023-01-26 12:00,흐림,-11,-2
서울,2023-01-27 00:00,맑음,-9,-3
서울,2023-01-27 12:00,맑음,-9,-3
서울,2023-01-28 00:00,맑음,-11,-2
서울,2023-01-29 00:00,맑음,-9,-1
서울,2023-01-30 00:00,맑음,-7,1
인천,2023-01-23 00:00,구름많음,-3,-2
인천,2023-01-23 12:00,맑음,-3,-2
인천,2023-01-24 00:00,맑음,-16,-9
인천,2023-01-24 12:00,맑음,-16,-9
인천,2023-01-25 00:00,맑음,-14,-7
인천,2023-01-25 12:00,맑음,-14,-7
인천,2023-01-26 00:00,흐림,-9,-2
인천,2023-01-26 12:00,흐림,-9,-2
인천,2023-01-27 00:00,맑음,-8,-3
인천,2023-01-27 12:00,맑음,-8,-3
인천,2023-01-28 00:00,맑음,-9,-3
인천,2023-01-29 00:00,맑음,-8,-1
인천,2023-01-30 00:00,맑음,-5,1
수원,2023-01-23 00:00,구름많음,-4,0
수원,2023-01-23 12:00,맑음,-4,0
수원,2023-01-24 00:00,맑음,-16,-9
수원,2023-01-24 12:00,맑음,-16,-9
수원,2023-01-25 00:00,맑음,-17,-6
수원,2023-01-25 12:00,맑음,-17,-6
수원,2023-01-26 00:00,흐림,-11,-1
수원,2023-01-26 12:00,흐림,-11,-1
수원,2023-01-27 00:00,맑음,-9,-2
수원,2023-01-27 12:00,맑음,-9,-2
수원,2023-01-28 00:00,맑음,-10,-2
수원,2023-01-29 00:00,맑음,-9,-1
수원,2023-01-30 00:00,맑음,-8,1
파주,2023-01-23 00:00,구름많음,-5,-2
파주,2023-01-23 12:00,맑음,-5,-2
파주,2023-01-24 00:00,맑음,-20,-11
파주,2023-01-24 12:00,맑음,-20,-11
파주,2023-01-25 00:00,맑음,-19,-6
파주,2023-01-25 12:00,맑음,-19,-6
파주,2023-01-26 00:00,흐림,-14,-3
파주,2023-01-26 12:00,흐림,-14,-3
파주,2023-01-27 00:00,맑음,-12,-4
파주,2023-01-27 12:00,맑음,-12,-4
파주,2023-01-28 00:00,맑음,-13,-3
파주,2023-01-29 00:00,맑음,-14,-3
파주,2023-01-30 00:00,맑음,-12,0
이천,2023-01-23 00:00,구름많음,-4,1
이천,2023-01-23 12:00,맑음,-4,1
이천,2023-01-24 00:00,맑음,-15,-9
이천,2023-01-24 12:00,맑음,-15,-9
이천,2023-01-25 00:00,맑음,-17,-5
이천,2023-01-25 12:00,맑음,-17,-5
이천,2023-01-26 00:00,흐림,-12,-2
이천,2023-01-26 12:00,흐림,-12,-2
이천,2023-01-27 00:00,맑음,-9,-2
이천,2023-01-27 12:00,맑음,-9,-2
이천,2023-01-28 00:00,맑음,-11,-2
이천,2023-01-29 00:00,맑음,-12,-2
이천,2023-01-30 00:00,맑음,-10,0
평택,2023-01-23 00:00,구름많음,-3,1
평택,2023-01-23 12:00,맑음,-3,1
평택,2023-01-24 00:00,맑음,-15,-9
평택,2023-01-24 12:00,맑음,-15,-9
평택,2023-01-25 00:00,맑음,-15,-5
평택,2023-01-25 12:00,맑음,-15,-5
평택,2023-01-26 00:00,흐림,-9,-1
평택,2023-01-26 12:00,흐림,-9,-1
평택,2023-01-27 00:00,맑음,-7,-1
평택,2023-01-27 12:00,맑음,-7,-1
평택,2023-01-28 00:00,맑음,-9,-1
평택,2023-01-29 00:00,맑음,-9,-2
평택,2023-01-30 00:00,맑음,-7,2
춘천,2023-01-23 00:00,구름많음,-4,1
춘천,2023-01-23 12:00,맑음,-4,1
춘천,2023-01-24 00:00,맑음,-18,-10
춘천,2023-01-24 12:00,맑음,-18,-10
춘천,2023-01-25 00:00,맑음,-19,-6
춘천,2023-01-25 12:00,맑음,-19,-6
춘천,2023-01-26 00:00,흐림,-14,-2
춘천,2023-01-26 12:00,흐림,-14,-2
춘천,2023-01-27 00:00,흐림,-10,-2
춘천,2023-01-27 12:00,맑음,-10,-2
춘천,2023-01-28 00:00,맑음,-13,-3
춘천,2023-01-29 00:00,맑음,-14,-4
춘천,2023-01-30 00:00,맑음,-12,-1
원주,2023-01-23 00:00,구름많음,-3,1
원주,2023-01-23 12:00,맑음,-3,1
원주,2023-01-24 00:00,맑음,-15,-9
원주,2023-01-24 12:00,맑음,-15,-9
원주,2023-01-25 00:00,맑음,-17,-6
원주,2023-01-25 12:00,맑음,-17,-6
원주,2023-01-26 00:00,흐림,-12,-2
원주,2023-01-26 12:00,흐림,-12,-2
원주,2023-01-27 00:00,흐림,-9,-2
원주,2023-01-27 12:00,맑음,-9,-2
원주,2023-01-28 00:00,맑음,-11,-3
원주,2023-01-29 00:00,맑음,-12,-3
원주,2023-01-30 00:00,맑음,-9,0
강릉,2023-01-23 00:00,구름많음,0,4
강릉,2023-01-23 12:00,구름많음,0,4
강릉,2023-01-24 00:00,맑음,-12,-6
강릉,2023-01-24 12:00,맑음,-12,-6
강릉,2023-01-25 00:00,맑음,-14,-3
강릉,2023-01-25 12:00,맑음,-14,-3
강릉,2023-01-26 00:00,구름많음,-9,1
강릉,2023-01-26 12:00,구름많음,-9,1
강릉,2023-01-27 00:00,구름많음,-3,3
강릉,2023-01-27 12:00,맑음,-3,3
강릉,2023-01-28 00:00,맑음,-6,1
강릉,2023-01-29 00:00,맑음,-7,1
강릉,2023-01-30 00:00,맑음,-5,3
대전,2023-01-23 00:00,구름많음,-3,3
대전,2023-01-23 12:00,구름많음,-3,3
대전,2023-01-24 00:00,맑음,-14,-7
대전,2023-01-24 12:00,맑음,-14,-7
대전,2023-01-25 00:00,맑음,-15,-4
대전,2023-01-25 12:00,맑음,-15,-4
대전,2023-01-26 00:00,흐림,-9,1
대전,2023-01-26 12:00,흐림,-9,1
대전,2023-01-27 00:00,흐림,-5,1
대전,2023-01-27 12:00,맑음,-5,1
대전,2023-01-28 00:00,맑음,-8,-1
대전,2023-01-29 00:00,맑음,-9,-1
대전,2023-01-30 00:00,구름많음,-6,2
세종,2023-01-23 00:00,구름많음,-3,2
세종,2023-01-23 12:00,구름많음,-3,2
세종,2023-01-24 00:00,맑음,-15,-8
세종,2023-01-24 12:00,맑음,-15,-8
세종,2023-01-25 00:00,맑음,-17,-6
세종,2023-01-25 12:00,맑음,-17,-6
세종,2023-01-26 00:00,흐림,-10,1
세종,2023-01-26 12:00,흐림,-10,1
세종,2023-01-27 00:00,흐림,-7,0
세종,2023-01-27 12:00,맑음,-7,0
세종,2023-01-28 00:00,맑음,-10,-2
세종,2023-01-29 00:00,맑음,-11,-2
세종,2023-01-30 00:00,구름많음,-7,3
홍성,2023-01-23 00:00,구름많음,-3,1
홍성,2023-01-23 12:00,구름많음,-3,1
홍성,2023-01-24 00:00,맑음,-14,-8
홍성,2023-01-24 12:00,맑음,-14,-8
홍성,2023-01-25 00:00,맑음,-15,-4
홍성,2023-01-25 12:00,맑음,-15,-4
홍성,2023-01-26 00:00,흐림,-10,1
홍성,2023-01-26 12:00,흐림,-10,1
홍성,2023-01-27 00:00,흐림,-7,0
홍성,2023-01-27 12:00,맑음,-7,0
홍성,2023-01-28 00:00,맑음,-9,-1
홍성,2023-01-29 00:00,맑음,-10,-1
홍성,2023-01-30 00:00,구름많음,-6,2
청주,2023-01-23 00:00,구름많음,-3,2
청주,2023-01-23 12:00,구름많음,-3,2
청주,2023-01-24 00:00,맑음,-13,-8
청주,2023-01-24 12:00,맑음,-13,-8
청주,2023-01-25 00:00,맑음,-15,-5
청주,2023-01-25 12:00,맑음,-15,-5
청주,2023-01-26 00:00,흐림,-8,0
청주,2023-01-26 12:00,흐림,-8,0
청주,2023-01-27 00:00,흐림,-6,0
청주,2023-01-27 12:00,맑음,-6,0
청주,2023-01-28 00:00,맑음,-8,-1
청주,2023-01-29 00:00,맑음,-9,-1
청주,2023-01-30 00:00,맑음,-6,1
충주,2023-01-23 00:00,구름많음,-4,2
충주,2023-01-23 12:00,구름많음,-4,2
충주,2023-01-24 00:00,맑음,-15,-8
충주,2023-01-24 12:00,맑음,-15,-8
충주,2023-01-25 00:00,맑음,-17,-6
충주,2023-01-25 12:00,맑음,-17,-6
충주,2023-01-26 00:00,흐림,-12,-1
충주,2023-01-26 12:00,흐림,-12,-1
충주,2023-01-27 00:00,흐림,-8,-1
충주,2023-01-27 12:00,맑음,-8,-1
충주,2023-01-28 00:00,맑음,-10,-3
충주,2023-01-29 00:00,맑음,-12,-3
충주,2023-01-30 00:00,맑음,-9,0
영동,2023-01-23 00:00,구름많음,-4,2
영동,2023-01-23 12:00,구름많음,-4,2
영동,2023-01-24 00:00,맑음,-14,-7
영동,2023-01-24 12:00,맑음,-14,-7
영동,2023-01-25 00:00,맑음,-17,-4
영동,2023-01-25 12:00,맑음,-17,-4
영동,2023-01-26 00:00,흐림,-9,1
영동,2023-01-26 12:00,흐림,-9,1
영동,2023-01-27 00:00,흐림,-6,1
영동,2023-01-27 12:00,맑음,-6,1
영동,2023-01-28 00:00,맑음,-9,0
영동,2023-01-29 00:00,맑음,-10,0
영동,2023-01-30 00:00,맑음,-7,2
광주,2023-01-23 00:00,흐림,0,4
광주,2023-01-23 12:00,구름많음,0,4
광주,2023-01-24 00:00,흐리고 눈,-9,-5
광주,2023-01-24 12:00,흐리고 눈,-9,-5
광주,2023-01-25 00:00,흐리고 눈,-12,-3
광주,2023-01-25 12:00,흐림,-12,-3
광주,2023-01-26 00:00,흐림,-7,2
광주,2023-01-26 12:00,흐림,-7,2
광주,2023-01-27 00:00,흐림,-4,3
광주,2023-01-27 12:00,구름많음,-4,3
광주,2023-01-28 00:00,흐림,-5,1
광주,2023-01-29 00:00,흐림,-6,1
광주,2023-01-30 00:00,흐림,-6,1
목포,2023-01-23 00:00,흐림,1,5
목포,2023-01-23 12:00,구름많음,1,5
목포,2023-01-24 00:00,흐리고 눈,-6,-4
목포,2023-01-24 12:00,흐리고 눈,-6,-4
목포,2023-01-25 00:00,흐리고 눈,-9,-3
목포,2023-01-25 12:00,흐림,-9,-3
목포,2023-01-26 00:00,흐림,-4,2
목포,2023-01-26 12:00,흐림,-4,2
목포,2023-01-27 00:00,흐림,-2,2
목포,2023-01-27 12:00,구름많음,-2,2
목포,2023-01-28 00:00,흐림,-3,1
목포,2023-01-29 00:00,흐림,-3,2
목포,2023-01-30 00:00,흐림,-3,2
여수,2023-01-23 00:00,흐림,3,6
여수,2023-01-23 12:00,구름많음,3,6
여수,2023-01-24 00:00,흐리고 눈,-7,-3
여수,2023-01-24 12:00,흐리고 눈,-7,-3
여수,2023-01-25 00:00,흐리고 눈,-8,-1
여수,2023-01-25 12:00,흐림,-8,-1
여수,2023-01-26 00:00,흐림,-4,3
여수,2023-01-26 12:00,흐림,-4,3
여수,2023-01-27 00:00,흐림,-1,5
여수,2023-01-27 12:00,구름많음,-1,5
여수,2023-01-28 00:00,흐림,-2,2
여수,2023-01-29 00:00,흐림,-3,2
여수,2023-01-30 00:00,흐림,-2,4
순천,2023-01-23 00:00,흐림,1,6
순천,2023-01-23 12:00,구름많음,1,6
순천,2023-01-24 00:00,흐리고 눈,-8,-4
순천,2023-01-24 12:00,흐리고 눈,-8,-4
순천,2023-01-25 00:00,흐리고 눈,-11,-1
순천,2023-01-25 12:00,흐림,-11,-1
순천,2023-01-26 00:00,흐림,-7,4
순천,2023-01-26 12:00,흐림,-7,4
순천,2023-01-27 00:00,흐림,-2,5
순천,2023-01-27 12:00,구름많음,-2,5
순천,2023-01-28 00:00,흐림,-4,2
순천,2023-01-29 00:00,흐림,-5,3
순천,2023-01-30 00:00,흐림,-3,4
광양,2023-01-23 00:00,흐림,1,7
광양,2023-01-23 12:00,구름많음,1,7
광양,2023-01-24 00:00,흐리고 눈,-8,-3
광양,2023-01-24 12:00,흐리고 눈,-8,-3
광양,2023-01-25 00:00,흐리고 눈,-10,-1
광양,2023-01-25 12:00,흐림,-10,-1
광양,2023-01-26 00:00,흐림,-6,4
광양,2023-01-26 12:00,흐림,-6,4
광양,2023-01-27 00:00,흐림,-2,5
광양,2023-01-27 12:00,구름많음,-2,5
광양,2023-01-28 00:00,흐림,-4,2
광양,2023-01-29 00:00,흐림,-5,2
광양,2023-01-30 00:00,흐림,-3,5
나주,2023-01-23 00:00,흐림,-1,5
나주,2023-01-23 12:00,구름많음,-1,5
나주,2023-01-24 00:00,흐리고 눈,-9,-5
나주,2023-01-24 12:00,흐리고 눈,-9,-5
나주,2023-01-25 00:00,흐리고 눈,-12,-2
나주,2023-01-25 12:00,흐림,-12,-2
나주,2023-01-26 00:00,흐림,-8,3
나주,2023-01-26 12:00,흐림,-8,3
나주,2023-01-27 00:00,흐림,-4,3
나주,2023-01-27 12:00,구름많음,-4,3
나주,2023-01-28 00:00,흐림,-5,2
나주,2023-01-29 00:00,흐림,-7,2
나주,2023-01-30 00:00,흐림,-6,4
전주,2023-01-23 00:00,구름많음,-1,4
전주,2023-01-23 12:00,구름많음,-1,4
전주,2023-01-24 00:00,흐리고 눈,-12,-6
전주,2023-01-24 12:00,흐리고 눈,-12,-6
전주,2023-01-25 00:00,흐리고 눈,-14,-3
전주,2023-01-25 12:00,구름많음,-14,-3
전주,2023-01-26 00:00,흐림,-7,1
전주,2023-01-26 12:00,흐림,-7,1
전주,2023-01-27 00:00,흐림,-5,2
전주,2023-01-27 12:00,구름많음,-5,2
전주,2023-01-28 00:00,구름많음,-6,0
전주,2023-01-29 00:00,흐림,-8,0
전주,2023-01-30 00:00,구름많음,-6,2
군산,2023-01-23 00:00,구름많음,-2,3
군산,2023-01-23 12:00,구름많음,-2,3
군산,2023-01-24 00:00,흐리고 눈,-12,-6
군산,2023-01-24 12:00,흐리고 눈,-12,-6
군산,2023-01-25 00:00,흐리고 눈,-13,-4
군산,2023-01-25 12:00,구름많음,-13,-4
군산,2023-01-26 00:00,흐림,-8,1
군산,2023-01-26 12:00,흐림,-8,1
군산,2023-01-27 00:00,흐림,-5,1
군산,2023-01-27 12:00,구름많음,-5,1
군산,2023-01-28 00:00,구름많음,-6,0
군산,2023-01-29 00:00,흐림,-8,0
군산,2023-01-30 00:00,구름많음,-6,2
정읍,2023-01-23 00:00,구름많음,-2,3
정읍,2023-01-23 12:00,구름많음,-2,3
정읍,2023-01-24 00:00,흐리고 눈,-12,-6
정읍,2023-01-24 12:00,흐리고 눈,-12,-6
정읍,2023-01-25 00:00,흐리고 눈,-14,-4
정읍,2023-01-25 12:00,구름많음,-14,-4
정읍,2023-01-26 00:00,흐림,-8,1
정읍,2023-01-26 12:00,흐림,-8,1
정읍,2023-01-27 00:00,흐림,-4,1
정읍,2023-01-27 12:00,구름많음,-4,1
정읍,2023-01-28 00:00,구름많음,-6,0
정읍,2023-01-29 00:00,흐림,-8,-1
정읍,2023-01-30 00:00,구름많음,-5,2
남원,2023-01-23 00:00,구름많음,-1,3
남원,2023-01-23 12:00,구름많음,-1,3
남원,2023-01-24 00:00,흐리고 눈,-13,-6
남원,2023-01-24 12:00,흐리고 눈,-13,-6
남원,2023-01-25 00:00,흐리고 눈,-14,-3
남원,2023-01-25 12:00,구름많음,-14,-3
남원,2023-01-26 00:00,흐림,-8,1
남원,2023-01-26 12:00,흐림,-8,1
남원,2023-01-27 00:00,흐림,-5,2
남원,2023-01-27 12:00,구름많음,-5,2
남원,2023-01-28 00:00,구름많음,-7,0
남원,2023-01-29 00:00,흐림,-8,-1
남원,2023-01-30 00:00,구름많음,-8,2
고창,2023-01-23 00:00,구름많음,0,3
고창,2023-01-23 12:00,구름많음,0,3
고창,2023-01-24 00:00,흐리고 눈,-12,-6
고창,2023-01-24 12:00,흐리고 눈,-12,-6
고창,2023-01-25 00:00,흐리고 눈,-13,-4
고창,2023-01-25 12:00,구름많음,-13,-4
고창,2023-01-26 00:00,흐림,-7,1
고창,2023-01-26 12:00,흐림,-7,1
고창,2023-01-27 00:00,흐림,-4,1
고창,2023-01-27 12:00,구름많음,-4,1
고창,2023-01-28 00:00,구름많음,-5,-1
고창,2023-01-29 00:00,흐림,-7,-1
고창,2023-01-30 00:00,구름많음,-5,1
무주,2023-01-23 00:00,구름많음,-3,2
무주,2023-01-23 12:00,구름많음,-3,2
무주,2023-01-24 00:00,흐리고 눈,-14,-6
무주,2023-01-24 12:00,흐리고 눈,-14,-6
무주,2023-01-25 00:00,흐리고 눈,-17,-4
무주,2023-01-25 12:00,구름많음,-17,-4
